
LocalAddress LocalPort  State OwningProcess
------------ ---------  ----- -------------
::               65411 Listen         23708
::               49695 Listen           944
::1              49670 Listen          5348
::               49669 Listen          4440
::               49668 Listen          2980
::               49667 Listen          2192
::               49666 Listen          1748
::               49665 Listen           856
::               49664 Listen          1028
::1              42050 Listen          4116
::                9993 Listen          5332
::                7680 Listen          3884
::                5432 Listen          7220
::                5357 Listen             4
::                3389 Listen          1468
::                2179 Listen          2228
::                1031 Listen         23708
::                 445 Listen             4
::                 135 Listen          1244
127.0.0.1        65427 Listen         24036
127.0.0.1        65417 Listen         24036
127.0.0.1        65416 Listen         24036
127.0.0.1        65412 Listen         16356
127.0.0.1        65001 Listen          5228
127.0.0.1        64300 Listen         19628
127.0.0.1        64154 Listen         20860
127.0.0.1        50912 Listen          5392
127.0.0.1        50911 Listen          5300
0.0.0.0          49695 Listen           944
0.0.0.0          49669 Listen          4440
0.0.0.0          49668 Listen          2980
0.0.0.0          49667 Listen          2192
0.0.0.0          49666 Listen          1748
0.0.0.0          49665 Listen           856
0.0.0.0          49664 Listen          1028
0.0.0.0           9993 Listen          5332
172.22.16.1       9009 Listen             4
127.0.0.1         9009 Listen             4
10.10.30.21       9009 Listen             4
127.0.0.1         5939 Listen          5952
0.0.0.0           5432 Listen          7220
0.0.0.0           5040 Listen         13084
0.0.0.0           3389 Listen          1468
0.0.0.0           2179 Listen          2228
127.0.0.1         1001 Listen             4
0.0.0.0            912 Listen          5048
0.0.0.0            902 Listen          5048
172.22.16.1        139 Listen             4
10.10.30.21        139 Listen             4
0.0.0.0            135 Listen          1244


