
Name                                        Status
----                                        ------
AarSvc_1dc8527                             Stopped
Adobe LM Service                           Stopped
AJRouter                                   Stopped
ALG                                        Stopped
AppIDSvc                                   Stopped
Appinfo                                    Running
AppleChargerSrv                            Stopped
AppMgmt                                    Stopped
AppReadiness                               Stopped
AppVClient                                 Stopped
AppXSvc                                    Stopped
asComSvc                                   Running
AssignedAccessManagerSvc                   Stopped
asus                                       Stopped
asusm                                      Stopped
AudioEndpointBuilder                       Running
Audiosrv                                   Running
autotimesvc                                Stopped
AxInstSV                                   Stopped
BcastDVRUserService_1dc8527                Stopped
BDESVC                                     Running
BFE                                        Running
BITS                                       Running
BluetoothUserService_1dc8527               Stopped
BrokerInfrastructure                       Running
BTAGService                                Stopped
BthAvctpSvc                                Running
bthserv                                    Stopped
camsvc                                     Running
CaptureService_1dc8527                     Stopped
cbdhsvc_1dc8527                            Running
CDPSvc                                     Running
CDPUserSvc_1dc8527                         Running
CertPropSvc                                Running
chromoting                                 Running
ClickToRunSvc                              Running
ClipSVC                                    Stopped
CloudflareWARP                             Running
cloudidsvc                                 Stopped
com.docker.service                         Stopped
COMSysApp                                  Stopped
ConsentUxUserSvc_1dc8527                   Stopped
CoreMessagingRegistrar                     Running
cplspcon                                   Running
CredentialEnrollmentManagerUserSvc_1dc8527 Stopped
CryptSvc                                   Running
CscService                                 Stopped
DcomLaunch                                 Running
dcsvc                                      Stopped
defragsvc                                  Stopped
DeviceAssociationBrokerSvc_1dc8527         Stopped
DeviceAssociationService                   Running
DeviceInstall                              Stopped
DevicePickerUserSvc_1dc8527                Stopped
DevicesFlowUserSvc_1dc8527                 Stopped
DevQueryBroker                             Stopped
Dhcp                                       Running
diagnosticshub.standardcollector.service   Stopped
diagsvc                                    Stopped
DiagTrack                                  Running
DialogBlockingService                      Stopped
DispBrokerDesktopSvc                       Running
DisplayEnhancementService                  Stopped
DmEnrollmentSvc                            Stopped
dmwappushservice                           Stopped
Dnscache                                   Running
DoSvc                                      Running
dot3svc                                    Stopped
DpHost                                     Running
DPS                                        Running
DsmSvc                                     Stopped
DsSvc                                      Running
DusmSvc                                    Running
Eaphost                                    Stopped
EasyTuneEngineService                      Running
edgeupdate                                 Stopped
edgeupdatem                                Stopped
EFS                                        Stopped
embeddedmode                               Stopped
EntAppSvc                                  Stopped
EpsonScanSvc                               Running
EventLog                                   Running
EventSystem                                Running
Fax                                        Stopped
fdPHost                                    Running
FDResPub                                   Running
fhsvc                                      Stopped
FlexNet Licensing Service                  Running
FontCache                                  Running
FontCache3.0.0.0                           Stopped
FoxitReaderUpdateService                   Running
FrameServer                                Stopped
FvSvc                                      Stopped
GameInputSvc                               Stopped
GigabyteUpdateService                      Running
GoogleChromeElevationService               Stopped
GooglePlayGamesServices-26.1.751.0         Running
GoogleUpdaterInternalService144.0.7547.0   Stopped
GoogleUpdaterService144.0.7547.0           Stopped
gpsvc                                      Stopped
GraphicsPerfSvc                            Stopped
Gservice                                   Running
HgClientService                            Stopped
hidserv                                    Running
hns                                        Running
HvHost                                     Stopped
icssvc                                     Stopped
igccservice                                Running
IKEEXT                                     Running
InstallService                             Running
Intel(R) Platform License Manager Service  Stopped
iphlpsvc                                   Running
IpxlatCfgSvc                               Stopped
jhi_service                                Running
KeyIso                                     Running
KtmRm                                      Stopped
LanmanServer                               Running
LanmanWorkstation                          Running
LenovoAccessoriesandDisplayManagerService  Running
lfsvc                                      Running
LicenseManager                             Running
LightingService                            Stopped
lltdsvc                                    Stopped
lmhosts                                    Running
LokLok Video Service                       Running
LSM                                        Running
LxpSvc                                     Stopped
LxssManager                                Stopped
LxssManagerUser_1dc8527                    Stopped
MapsBroker                                 Stopped
McAfee WebAdvisor                          Running
McpManagementService                       Stopped
MDCoreSvc                                  Running
MEmuSVC                                    Running
MessagingService_1dc8527                   Stopped
MicrosoftEdgeElevationService              Stopped
MixedRealityOpenXRSvc                      Stopped
MozillaMaintenance                         Stopped
mpssvc                                     Running
MSDTC                                      Stopped
MSiSCSI                                    Stopped
msiserver                                  Stopped
MsKeyboardFilter                           Stopped
MyService1                                 Running
NaturalAuthentication                      Stopped
NcaSvc                                     Stopped
NcbService                                 Running
NcdAutoSetup                               Running
Netlogon                                   Stopped
Netman                                     Stopped
netprofm                                   Running
NetSetupSvc                                Stopped
NetTcpPortSharing                          Stopped
NgcCtnrSvc                                 Running
NgcSvc                                     Running
NlaSvc                                     Running
nsi                                        Running
nvagent                                    Running
NvContainerLocalSystem                     Running
NVDisplay.ContainerLocalSystem             Running
OCButtonService                            Stopped
OneSyncSvc_1dc8527                         Running
ose                                        Stopped
p2pimsvc                                   Stopped
p2psvc                                     Stopped
PcaSvc                                     Running
PeerDistSvc                                Stopped
perceptionsimulation                       Stopped
PerfHost                                   Stopped
PhoneSvc                                   Stopped
PimIndexMaintenanceSvc_1dc8527             Running
pla                                        Stopped
PlugPlay                                   Running
PNRPAutoReg                                Stopped
PNRPsvc                                    Stopped
PolicyAgent                                Running
postgresql-x64-18                          Running
Power                                      Running
PrintNotify                                Stopped
PrintWorkflowUserSvc_1dc8527               Stopped
ProfSvc                                    Running
PushToInstall                              Stopped
QMEmulatorService                          Stopped
QWAVE                                      Stopped
RasAuto                                    Stopped
RasMan                                     Running
RemoteAccess                               Stopped
RemoteRegistry                             Stopped
RetailDemo                                 Stopped
RmSvc                                      Running
RpcEptMapper                               Running
RpcLocator                                 Stopped
RpcSs                                      Running
RtkAudioUniversalService                   Running
SamSs                                      Running
SCardSvr                                   Stopped
ScDeviceEnum                               Stopped
Schedule                                   Running
SCPolicySvc                                Stopped
SDRSVC                                     Stopped
seclogon                                   Stopped
SecurityHealthService                      Running
SEMgrSvc                                   Stopped
SENS                                       Running
Sense                                      Stopped
SensorDataService                          Stopped
SensorService                              Stopped
SensrSvc                                   Stopped
SessionEnv                                 Running
SharedAccess                               Running
SharedRealitySvc                           Stopped
ShellHWDetection                           Running
shpamsvc                                   Stopped
smphost                                    Stopped
SmsRouter                                  Stopped
SNMPTRAP                                   Stopped
spectrum                                   Stopped
Spooler                                    Running
